役職一覧,,,役職一覧
,代表取締役社長,,
代表取締役会長,専務取締役,,代表取締役社長
代表取締役副会長,取締役,,専務取締役
代表取締役社長,取締役(監査等委員),,取締役
代表執行役社長,取締役(監査等委員),,取締役(監査等委員)
代表執行役専務,代表取締役社長,,代表取締役副社長社長補佐、情報通信・システム担当
代表執行役,代表取締役副社長社長補佐、情報通信・システム担当,,専務取締役安全・鉄道・国際担当
,専務取締役安全・鉄道・国際担当,,常務取締役経営企画・営業・環境エネルギー担当
,常務取締役経営企画・営業・環境エネルギー担当,,常務取締役関連事業・監査・財務・人事・総務担当
,常務取締役関連事業・監査・財務・人事・総務担当,,代表取締役経営戦略本部長兼アグロ事業担当
取締役会長,代表取締役社長,,取締役グループ管理本部長
取締役社長,代表取締役経営戦略本部長兼アグロ事業担当,,取締役グループ経理本部長兼情報システム部長
取締役,取締役グループ管理本部長,,取締役医薬事業本部長兼高崎工場長
取締役頭取執行役員,取締役グループ経理本部長兼情報システム部長,,取締役最高顧問
取締役副頭取執行役員,取締役医薬事業本部長兼高崎工場長,,代表取締役社長社長執行役員
取締役専務執行役員,取締役最高顧問,,専務取締役専務執行役員(直販担当兼営業企画担当)
取締役常務執行役員,代表取締役社長社長執行役員,,取締役会長(代表取締役)
,専務取締役専務執行役員(直販担当兼営業企画担当),,取締役副会長
,取締役,,取締役社長(代表取締役)
執行専務,取締役,,取締役(代表取締役)エネルギー事業統括本部長
執行役常務,取締役会長(代表取締役),,取締役営業本部長
執行役員,取締役副会長,,代表取締役専務執行役員生産・技術部門管掌エンジニアリング本部担当インドネシアプロジェクト担当DX推進チーム担当イオネル建設チーム担当
,取締役社長(代表取締役),,取締役常務執行役員経営企画本部長
常務執行役員,取締役(代表取締役)エネルギー事業統括本部長,,取締役常務執行役員事務部門管掌総務人事本部長IT統括部担当ERP推進プロジェクト担当
,取締役営業本部長,,取締役常務執行役員事業部門管掌事業企画開発部担当
常任監査役,代表取締役社長,,取締役店舗開発部長
,代表取締役専務執行役員生産・技術部門管掌エンジニアリング本部担当インドネシアプロジェクト担当DX推進チーム担当イオネル建設チーム担当,,取締役管理部管掌
監査役,取締役常務執行役員経営企画本部長,,代表取締役最高経営責任者(CEO)
上席執行役員,取締役常務執行役員事務部門管掌総務人事本部長IT統括部担当ERP推進プロジェクト担当,,代表取締役住環境カンパニー社長
,取締役常務執行役員事業部門管掌事業企画開発部担当,,取締役鉄道カンパニー社長
,代表取締役社長,,取締役東洋自動機㈱代表取締役社長
,取締役店舗開発部長,,取締役企画、経理、情報システム、業務改革推進、コーポレート・コミュニケーション管掌
,取締役管理部管掌,,取締役社長社長執行役員(代表取締役)
社長,取締役,,取締役副社長副社長執行役員(代表取締役)
社長執行役員,取締役,,取締役常務執行役員
,代表取締役最高経営責任者(CEO),,取締役指名委員報酬委員
,代表取締役住環境カンパニー社長,,取締役(注)1監査委員
,取締役鉄道カンパニー社長,,取締役(注)1指名委員報酬委員
副社長,取締役東洋自動機㈱代表取締役社長,,代表取締役社長CEО
副社長執行役員,取締役企画、経理、情報システム、業務改革推進、コーポレート・コミュニケーション管掌,,代表取締役副社長執行役員CFО兼主計、営業経理、財務、IR、フィナンシャルソリューション、コントローラー室管掌
,取締役会長(代表取締役),,代表取締役副社長執行役員社長補佐、自動車、航空産業・交通プロジェクト、インフラ・ヘルスケア、金属・資源・リサイクル管掌兼東アジア担当
,取締役社長社長執行役員(代表取締役),,取締役専務執行役員化学、生活産業・アグリビジネス、リテール・コンシューマーサービス管掌
,取締役副社長副社長執行役員(代表取締役),,代表取締役社長執行役員会計事務所事業部長
社外取締役,取締役副社長副社長執行役員(代表取締役),,代表取締役専務執行役員地方公共団体事業部長
,取締役常務執行役員,,取締役専務執行役員
,取締役指名委員報酬委員,,取締役常務執行役員会計事務所事業部システム開発研究所長
,取締役,,取締役執行役員経営管理本部長
,取締役(注)1監査委員,,代表取締役社長人づくり革新担当
,取締役(注)1指名委員報酬委員,,取締役副社長執行役員FAシステム本部長兼情報システム部担当兼輸出管理室担当兼北一大隈(北京)机床有限公司担当兼製造本部管掌
,取締役(注)1監査委員,,取締役専務執行役員管理本部長兼内部監査室担当兼EL業務室担当
,代表取締役社長CEО,,取締役常務執行役員欧米営業本部長兼OkumaAmericaCorporation取締役会長兼OkumaEuropeGmbH取締役会長
,代表取締役副社長執行役員CFО兼主計、営業経理、財務、IR、フィナンシャルソリューション、コントローラー室管掌,,取締役常務執行役員日本・アジア営業本部長兼サービス本部担当
,代表取締役副社長執行役員社長補佐、自動車、航空産業・交通プロジェクト、インフラ・ヘルスケア、金属・資源・リサイクル管掌兼東アジア担当,,代表取締役取締役頭取
,取締役専務執行役員化学、生活産業・アグリビジネス、リテール・コンシューマーサービス管掌,,代表取締役取締役専務執行役員秘書室長
,取締役,,取締役常務執行役員資金運用本部長
,代表取締役社長執行役員会計事務所事業部長,,取締役常務執行役員営業本部長
,代表取締役専務執行役員地方公共団体事業部長,,取締役会長兼社長(代表取締役)
,取締役専務執行役員,,専務取締役上席執行役員営業本部長
,取締役常務執行役員会計事務所事業部システム開発研究所長,,常務取締役
,取締役執行役員経営管理本部長,,常務取締役上席執行役員営業本部副本部長
,代表取締役社長人づくり革新担当,,代表取締役会長(兼)執行役員
,取締役副社長執行役員FAシステム本部長兼情報システム部担当兼輸出管理室担当兼北一大隈(北京)机床有限公司担当兼製造本部管掌,,代表取締役社長(兼)執行役員(兼)海外事業部長
,取締役専務執行役員管理本部長兼内部監査室担当兼EL業務室担当,,専務取締役(兼)執行役員営業本部長
,取締役常務執行役員欧米営業本部長兼OkumaAmericaCorporation取締役会長兼OkumaEuropeGmbH取締役会長,,常務取締役(兼)執行役員中国大陸事業部長
,取締役常務執行役員日本・アジア営業本部長兼サービス本部担当,,取締役(兼)執行役員情報システム部流通推進部管掌
,代表取締役取締役頭取,,取締役頭取頭取執行役員(代表取締役)(監査部担当)
,代表取締役取締役専務執行役員秘書室長,,取締役常務執行役員管理本部長(事務システム本部担当)
,取締役常務執行役員,,取締役常務執行役員経営企画本部長兼東京本部長
,取締役常務執行役員資金運用本部長,,取締役上席執行役員営業推進本部長
,取締役常務執行役員営業本部長,,取締役会長兼頭取(代表取締役)
,取締役会長兼社長(代表取締役),,取締役副頭取(代表取締役)
,専務取締役上席執行役員営業本部長,,取締役常務執行役員営業支援本部長
,常務取締役,,代表取締役社長執行役員
,常務取締役,,代表取締役専務執行役員
,常務取締役上席執行役員営業本部副本部長,,取締役(監査等委員長)
,代表取締役会長(兼)執行役員,,取締役会長代表取締役
,代表取締役社長(兼)執行役員(兼)海外事業部長,,取締役社長代表取締役
,専務取締役(兼)執行役員営業本部長,,常務取締役(兼常務執行役員)
,常務取締役(兼)執行役員中国大陸事業部長,,取締役(兼執行役員)
,取締役(兼)執行役員情報システム部流通推進部管掌,,代表取締役社長最高経営責任者チーフオフィサーグループ企画財務
,取締役会長(代表取締役),,取締役管掌グループ組織戦略、グループ人事、グループ総務、グループIT、チーフオフィサーグループ法務・コンプライアンス、専務執行役員業務管理担当
,取締役頭取頭取執行役員(代表取締役)(監査部担当),,代表取締役副社長
,取締役常務執行役員管理本部長(事務システム本部担当),,取締役副社長執行役員商品本部管掌
,取締役常務執行役員経営企画本部長兼東京本部長,,取締役常務執行役員企画・開発本部長兼企画部長
,取締役上席執行役員営業推進本部長,,取締役常務執行役員管理本部長
,取締役会長兼頭取(代表取締役),,取締役専務執行役員総務部長
,取締役副頭取(代表取締役),,取締役常務執行役員経営戦略部長
,取締役常務執行役員営業支援本部長,,代表取締役会長
,取締役常務執行役員,,取締役兼専務執行役員プロダクツ本部長
,取締役常務執行役員,,取締役兼専務執行役員企画管理本部長
,代表取締役社長執行役員,,取締役兼常務執行役員マーケティング本部長
,代表取締役専務執行役員,,取締役会長
,代表取締役専務執行役員,,代表取締役社長(執行役員社長)
,取締役常務執行役員,,代表取締役副社長(執行役員副社長)安全担当
,取締役(監査等委員長),,取締役(常務執行役員)経営企画担当、CSR・環境担当、情報システム担当
,取締役会長代表取締役,,取締役(常務執行役員)管理本部長、社長室長
,取締役社長代表取締役,,専務取締役執行役員経営戦略本部長海外事業部長王将大学学長
,常務取締役(兼常務執行役員),,専務取締役執行役員営業本部長西日本第3営業部長東日本第1営業部長営業サポート部長店舗開発部長東京事務所長
,常務取締役(兼常務執行役員),,常務取締役執行役員製造本部長製造部長工場管理部長購買部長
,取締役(兼執行役員),,取締役社長補佐経営デジタル推進準備室長
,代表取締役社長最高経営責任者チーフオフィサーグループ企画財務,,代表取締役会長兼CEO
,取締役管掌グループ組織戦略、グループ人事、グループ総務、グループIT、チーフオフィサーグループ法務・コンプライアンス、専務執行役員業務管理担当,,代表取締役社長兼COO
,取締役,,取締役専務執行役員営業統括本部長兼商品本部長兼海外事業本部長
,取締役,,取締役専務執行役員管理担当
,取締役,,取締役常務執行役員経営企画室長
,代表取締役社長,,代表取締役取締役社長
,代表取締役副社長,,代表取締役専務取締役管理部門管掌コンプライアンス担当
,取締役,,常務取締役本社技師長技術部門管掌全社品質・安全衛生環境担当開発本部担当
,取締役,,取締役企画本部長
,取締役,,取締役執行役員医療部門長、メディカル事業本部長
,代表取締役社長執行役員,,取締役執行役員航空部門長、航空宇宙事業本部長
,取締役副社長執行役員商品本部管掌,,取締役執行役員工業部門長、インダストリアル事業本部長
,取締役常務執行役員営業本部長,,取締役執行役員コーポレート部門長、業務本部長、企画本部長
,取締役常務執行役員企画・開発本部長兼企画部長,,常務取締役常務執行役員経営戦略担当
,取締役常務執行役員管理本部長,,取締役上席執行役員公共事業、国際事業担当
,代表取締役社長社長執行役員,,取締役上席執行役員システム事業担当
,取締役専務執行役員,,取締役副社長DMGMORIAG管掌
,取締役専務執行役員総務部長,,代表取締役副社長管理・製造管掌
,取締役常務執行役員,,代表取締役副社長経理財務管掌
,取締役常務執行役員経営戦略部長,,専務取締役研究開発管掌
,代表取締役会長,,代表取締役会長[東京営業本部本部長]
,代表取締役社長,,代表取締役社長[大阪営業本部本部長]
,取締役兼専務執行役員プロダクツ本部長,,取締役副社長
,取締役兼専務執行役員企画管理本部長,,専務取締役[岡山主管支店長]
,取締役兼常務執行役員マーケティング本部長,,専務取締役[大阪主管支店長]
,取締役会長,,取締役兼常務執行役員経営企画本部長兼(株)クレオ取締役
,代表取締役社長(執行役員社長),,取締役兼常務執行役員管理総括兼管理本部長
,代表取締役副社長(執行役員副社長)安全担当,,取締役兼執行役員営業総括兼(株)クレオ取締役
,取締役(常務執行役員)経営企画担当、CSR・環境担当、情報システム担当,,代表取締役社長執行役員経営戦略本部長
,取締役(常務執行役員)管理本部長、社長室長,,代表取締役副社長執行役員管理管掌兼DX推進室長
,代表取締役社長,,取締役副社長執行役員営業本部長
,専務取締役執行役員経営戦略本部長海外事業部長王将大学学長,,取締役常務執行役員事業開発本部長兼開発戦略部長
,専務取締役執行役員営業本部長西日本第3営業部長東日本第1営業部長営業サポート部長店舗開発部長東京事務所長,,代表取締役副会長コンプライアンス統括部、監査部担当
,常務取締役執行役員製造本部長製造部長工場管理部長購買部長,,代表取締役社長兼社長執行役員
,取締役社長補佐経営デジタル推進準備室長,,専務取締役兼専務執行役員審査本部長総務部、審査第一部、審査第二部、審査コンプライアンス推進室担当
,取締役会長兼社長(代表取締役),,専務取締役兼専務執行役員システム本部長経営企画部、システム開発部、システム運用部、システム企画室、システム管理室担当
,取締役,,専務取締役東京支店長兼海外事業担当(建機部門)
,取締役,,常務取締役レントオール事業部長兼海外事業担当(レントオール部門)
,取締役,,取締役特装機工部管掌兼安全品質管理担当
,取締役,,取締役中部支店長
,代表取締役会長兼CEO,,代表取締役会長CEO
,代表取締役社長兼COO,,代表取締役社長COO社長執行役員経営企画本部管掌兼研究開発本部管掌
,取締役専務執行役員営業統括本部長兼商品本部長兼海外事業本部長,,取締役CFO専務執行役員リスク統括室管掌兼不動産事業開発部管掌
,取締役専務執行役員管理担当,,取締役常務執行役員事業統括本部長兼品質・環境・安全担当兼技術担当兼関係会社担当兼営業本部管掌
,取締役常務執行役員経営企画室長,,取締役CDXO常務執行役員コンプライアンス担当兼コーポレート本部管掌兼DX推進本部管掌
,代表取締役取締役社長,,代表取締役
,代表取締役専務取締役管理部門管掌コンプライアンス担当,,専務取締役(代表取締役)営業本部・技術本部担当、原価管理室長
,常務取締役本社技師長技術部門管掌全社品質・安全衛生環境担当開発本部担当,,専務取締役(代表取締役)人事労務部・経理部・働き方改革担当
,取締役企画本部長,,常務取締役企画部・総務部・ITシステム推進室担当
,取締役,,常務取締役技術本部長
,代表取締役社長,,常務取締役管理本部長兼コンプライアンス担当兼いなげやグループライフサービスセンター長
,取締役執行役員医療部門長、メディカル事業本部長,,取締役商品戦略統轄
,取締役執行役員航空部門長、航空宇宙事業本部長,,取締役営業戦略本部長
,取締役執行役員工業部門長、インダストリアル事業本部長,,取締役グループ経営戦略本部長兼IR担当兼品質管理室担当
,取締役執行役員コーポレート部門長、業務本部長、企画本部長,,取締役専務執行役員(企画本部長)
,取締役会長,,取締役常務執行役員(生産本部長)
,代表取締役社長社長執行役員,,取締役常務執行役員(管理本部長)
,常務取締役常務執行役員経営戦略担当,,常務取締役常務執行役員ビーム・プラズマ事業本部長
,取締役上席執行役員公共事業、国際事業担当,,常務取締役常務執行役員電力・環境システム事業本部長
,取締役上席執行役員システム事業担当,,取締役(社外取締役非常勤・独立役員)(注)1
,代表取締役社長,,取締役頭取代表取締役
,取締役副社長DMGMORIAG管掌,,専務取締役代表取締役
,代表取締役副社長管理・製造管掌,,常務取締役管理本部長兼経営企画部長兼関連事業室長兼リスク統括
,代表取締役副社長経理財務管掌,,取締役営業本部長兼法人営業推進室長
,専務取締役研究開発管掌,,取締役営業戦略本部長兼MD開発部長
,代表取締役会長[東京営業本部本部長],,取締役人事・総務本部長兼不動産事業部長
,代表取締役社長[大阪営業本部本部長],,代表取締役兼執行役員社長(CEO)
,取締役副社長,,取締役兼経営執行役員CPO(ChiefProductionOfficer)
,専務取締役[岡山主管支店長],,取締役常務執行役員土木本部長
,専務取締役[大阪主管支店長],,代表取締役常務執行役員管理本部長
,取締役会長代表取締役,,取締役常務執行役員西日本支社長
,取締役社長代表取締役,,取締役頭取(代表取締役)
,取締役兼常務執行役員経営企画本部長兼(株)クレオ取締役,,取締役副頭取兼CCO(代表取締役)
,取締役兼常務執行役員管理総括兼管理本部長,,取締役専務執行役員(代表取締役)
,取締役兼執行役員営業総括兼(株)クレオ取締役,,常務取締役技術開発統括部長
,取締役会長,,常務取締役MFGソリューション事業部長
,代表取締役社長執行役員経営戦略本部長,,常務取締役電子部品事業部長
,代表取締役副社長執行役員管理管掌兼DX推進室長,,取締役経営企画室長
,取締役副社長執行役員営業本部長,,代表取締役社長(執行役員)営業統括本部長
,取締役常務執行役員事業開発本部長兼開発戦略部長,,取締役(執行役員)業務部長兼特販部長
,代表取締役会長,,取締役(執行役員)レンタル事業部長兼レンタル事業部北海道地区統括部長兼鉄鋼事業部管掌
,代表取締役副会長コンプライアンス統括部、監査部担当,,取締役(執行役員)人事部長兼事業開発室長
,代表取締役社長兼社長執行役員,,専務取締役コンプライアンス室長兼財務経理部・業務サポート部管掌兼法務担当
,専務取締役兼専務執行役員審査本部長総務部、審査第一部、審査第二部、審査コンプライアンス推進室担当,,専務取締役ロジスティクス統括部長兼グロサリー商品開発MD
,専務取締役兼専務執行役員システム本部長経営企画部、システム開発部、システム運用部、システム企画室、システム管理室担当,,常務取締役販売運営部長兼チェッカー部長
,代表取締役社長,,取締役専務執行役員建築設備事業本部長
,専務取締役東京支店長兼海外事業担当(建機部門),,取締役専務執行役員CSR推進本部長
,常務取締役レントオール事業部長兼海外事業担当(レントオール部門),,取締役常務執行役員プラント設備事業本部長
,取締役特装機工部管掌兼安全品質管理担当,,専務取締役執行役員営業統括
,取締役中部支店長,,専務取締役執行役員管理担当兼総合企画室長
,代表取締役会長,,常務取締役執行役員宮城支店長
,代表取締役社長,,代表取締役社長グループCEO
,取締役,,取締役京都支店長
,取締役,,取締役会長Chairman・CEO(代表取締役)
,取締役,,取締役社長COO(代表取締役)
,代表取締役会長CEO,,取締役常務執行役員生産統括本部長
,代表取締役社長COO社長執行役員経営企画本部管掌兼研究開発本部管掌,,取締役常務執行役員事業統括本部長
,取締役CFO専務執行役員リスク統括室管掌兼不動産事業開発部管掌,,代表取締役社長執行役員社長
,取締役常務執行役員事業統括本部長兼品質・環境・安全担当兼技術担当兼関係会社担当兼営業本部管掌,,取締役専務執行役員設計、施工、新事業、商品開発担当
,取締役CDXO常務執行役員コンプライアンス担当兼コーポレート本部管掌兼DX推進本部管掌,,取締役常務執行役員営業担当
,代表取締役社長,,取締役常務執行役員東日本事業本部長
,代表取締役,,代表取締役会長兼CEO経営全般、最高経営責任者
,代表取締役,,代表取締役社長兼COO経営全般、最高執行責任者
,取締役,,取締役兼専務執行役員営業・業務統括センター担当
,取締役,,"取締役兼専務執行役員統括開発技術・知的財産戦略本部・技術統括センター・アプリケーション統括室・開発・基盤技術センター・EX,MS事業ユニット・3D積層造形事業化プロジェクト担当"
,取締役社長(代表取締役),,取締役兼常務執行役員総務担当、業務監理室長
,専務取締役(代表取締役)営業本部・技術本部担当、原価管理室長,,取締役取締役会議長指名委員会委員監査委員会委員報酬委員会委員
,専務取締役(代表取締役)人事労務部・経理部・働き方改革担当,,取締役報酬委員会委員長指名委員会委員監査委員会委員
,常務取締役企画部・総務部・ITシステム推進室担当,,取締役指名委員会委員長監査委員会委員報酬委員会委員
,常務取締役技術本部長,,取締役監査委員会委員長指名委員会委員報酬委員会委員
,代表取締役社長,,代表取締役社長チーフ・エグゼクティブ・オフィサー(CEO)
,常務取締役管理本部長兼コンプライアンス担当兼いなげやグループライフサービスセンター長,,代表取締役社長兼営業本部長
,取締役商品戦略統轄,,常務取締役執行役員管理本部長兼IR室長
,取締役営業戦略本部長,,取締役執行役員食品事業部長兼品質管理室長
,取締役グループ経営戦略本部長兼IR担当兼品質管理室担当,,取締役執行役員人事総務本部長兼開発本部長
,代表取締役会長,,取締役専務執行役員農業化学品事業部長
,代表取締役社長,,取締役常務執行役員企画本部長
,取締役専務執行役員(企画本部長),,代表取締役会長(開発本部、グローバル事業推進本部の管掌)
,取締役常務執行役員(生産本部長),,代表取締役社長(調達本部の管掌)
,取締役常務執行役員(管理本部長),,取締役(電機システム本部長、営業業務統括部、支社・支店・営業所の担当)
,代表取締役会長,,取締役(財務部長兼同部内部統制推進室長、IT企画部、監査部及び全社リスク管理の担当、経営企画部、総務人事部、法務部、全社コンプライアンス及びWAY推進プロジェクトの管掌)
,代表取締役社長,,取締役(電子精機本部長兼同本部モーションコントロール機器及びプリンタシステム事業の担当)
,常務取締役常務執行役員ビーム・プラズマ事業本部長,,専務取締役総合管理センター所長兼法務部長
,常務取締役常務執行役員電力・環境システム事業本部長,,常務取締役材料研究所長
,取締役(社外取締役非常勤・独立役員)(注)1,,代表取締役社長内部統制部担当
,取締役会長,,代表取締役常務人事部、総務部、情報システム部担当、兼SDGs推進担当
,取締役頭取代表取締役,,常務取締役事業開発部、不動産事業部、施設部担当、兼特命担当
,専務取締役代表取締役,,常務取締役企画部担当
,常務取締役,,代表取締役社長(社長執行役員)
,常務取締役,,取締役管理本部長兼財務部長(上席執行役員)
,代表取締役社長,,取締役営業統括本部長(上席執行役員)
,常務取締役管理本部長兼経営企画部長兼関連事業室長兼リスク統括,,取締役店舗事業本部長兼店舗開発部長(上席執行役員)
,取締役営業本部長兼法人営業推進室長,,取締役会長(代表取締役)最高経営責任者(CEO)
,取締役営業戦略本部長兼MD開発部長,,取締役社長(代表取締役)最高執行責任者(COO)
,取締役人事・総務本部長兼不動産事業部長,,代表取締役社長兼CEO
,代表取締役兼執行役員社長(CEO),,取締役専務執行役員日本事業統括兼眼科事業部長
,取締役,,取締役専務執行役員工業機材事業本部長
,取締役,,代表取締役社長(社長)
,取締役,,取締役(副社長)
,取締役兼経営執行役員CPO(ChiefProductionOfficer),,取締役(常務執行役員)
,代表取締役社長,,取締役常務執行役員製造本部・生産技術本部管掌地域担当:中国
,取締役副社長執行役員営業本部長,,取締役常務執行役員事業管理本部長地域担当:アセアン/台湾
,取締役常務執行役員土木本部長,,取締役常務執行役員購買本部長車載営業本部・品質保証本部・民生ビジネス本部管掌地域担当:日本
,代表取締役常務執行役員管理本部長,,取締役相談役
,取締役常務執行役員西日本支社長,,取締役副社長社長補佐営業管掌
,取締役頭取(代表取締役),,専務取締役経営企画、財務管掌
,取締役副頭取兼CCO(代表取締役),,常務取締役技術、業務改革推進、安全、スマート化推進管掌
,取締役専務執行役員(代表取締役),,常務取締役総務、人事、リスクマネジメント管掌
,取締役常務執行役員,,常務取締役金型事業本部長
,取締役常務執行役員,,常務取締役管理本部長
,代表取締役社長,,取締役品質保証本部長
,常務取締役技術開発統括部長,,取締役経営統轄本部長
,常務取締役MFGソリューション事業部長,,代表取締役副社長安全保障輸出管理管掌、樹脂機械事業部・成形機事業部・産業機械事業部・特機本部管掌、事業開発室管掌、広島製作所・横浜製作所・名機製作所担当
,常務取締役電子部品事業部長,,取締役常務執行役員CSR・リスク管理担当、ESG推進担当、安全保障輸出管理担当、安全衛生管理・環境管理担当、人事教育部・総務部担当、秘書室長
,取締役経営企画室長,,取締役常務執行役員CISO、デジタル化推進担当、素形材・エンジニアリング事業担当、情報システム室・知的財産部担当
,代表取締役会長,,取締役常務執行役員CFO、経理部担当、経営企画室長
,代表取締役社長(執行役員)営業統括本部長,,代表取締役社長社長執行役員CEO監査部担当
,取締役(執行役員)業務部長兼特販部長,,代表取締役副社長副社長執行役員CTO経営企画部、事業企画部管掌技術開発本部、生産本部、海外事業所管
,取締役(執行役員)レンタル事業部長兼レンタル事業部北海道地区統括部長兼鉄鋼事業部管掌,,取締役常務執行役員生産本部長
,取締役(執行役員)人事部長兼事業開発室長,,取締役常務執行役員総務部、人事部、労働部所管
,取締役会長,,取締役常務執行役員CFO経営企画部、事業企画部所管経理部担当
,代表取締役社長,,(代表取締役)取締役頭取
,専務取締役コンプライアンス室長兼財務経理部・業務サポート部管掌兼法務担当,,(代表取締役)専務取締役
,専務取締役ロジスティクス統括部長兼グロサリー商品開発MD,,常務取締役事務本部長
,常務取締役販売運営部長兼チェッカー部長,,常務取締役営業本部長
,代表取締役会長,,常務取締役郡山営業部長
,代表取締役社長,,取締役専務執行役員グループコーポレート本部長
,取締役専務執行役員建築設備事業本部長,,取締役専務執行役員情報系事業統括
,取締役専務執行役員CSR推進本部長,,取締役常務執行役員生活・産業資材事業本部長
,取締役常務執行役員プラント設備事業本部長,,代表取締役副社長事業統括コーポレート企画センターセンター長(注1)
,代表取締役社長,,取締役常務執行役員バルブ・TPMS事業本部本部長
,代表取締役副社長,,取締役常務執行役員プレス・樹脂事業本部本部長
,専務取締役執行役員営業統括,,取締役(注2)
,専務取締役執行役員管理担当兼総合企画室長,,代表取締役執行役員副社長DX推進室長
,常務取締役執行役員宮城支店長,,取締役執行役員副社長
,代表取締役社長グループCEO,,取締役常務執行役員管理本部長DX推進室副室長
,取締役,,代表取締役専務執行役員社長補佐秘書室担当人事部担当購買・物流部担当内部統制推進委員長
,取締役,,取締役常務執行役員食品本部長東アジア食品事業プロジェクトチームリーダー
,取締役,,取締役常務執行役員化学品営業本部長
,取締役,,取締役執行役員財務・経理部長
